        примитивам:    [ 1 ]     [ 0.62 ]
           хочется:    [ 1 ]     [ 0.62 ]
              тоже:    [ 1 ]     [ 0.62 ]
           написал:    [ 1 ]     [ 0.62 ]
          закладка:    [ 1 ]     [ 0.62 ]
       tohexstring:    [ 1 ]     [ 0.62 ]
             найти:    [ 1 ]     [ 0.62 ]
             разве:    [ 1 ]     [ 0.62 ]
              java:    [ 1 ]     [ 0.62 ]
         некоторых:    [ 1 ]     [ 0.62 ]
            битные:    [ 1 ]     [ 0.62 ]
              одну:    [ 1 ]     [ 0.62 ]
            строку:    [ 1 ]     [ 0.62 ]
         посчитать:    [ 1 ]     [ 0.62 ]
        nanosecond:    [ 1 ]     [ 0.62 ]
           подумал:    [ 1 ]     [ 0.62 ]
                is:    [ 1 ]     [ 0.62 ]
          содержит:    [ 1 ]     [ 0.62 ]
           ссылкой:    [ 1 ]     [ 0.62 ]
          отметить:    [ 1 ]     [ 0.62 ]
           времена:    [ 1 ]     [ 0.62 ]
            500000:    [ 1 ]     [ 0.62 ]
                те:    [ 1 ]     [ 0.62 ]
    обеспечивающим:    [ 1 ]     [ 0.62 ]
          выводить:    [ 1 ]     [ 0.62 ]
           будущее:    [ 1 ]     [ 0.62 ]
            ничего:    [ 1 ]     [ 0.62 ]
        необычного:    [ 1 ]     [ 0.62 ]
               чем:    [ 1 ]     [ 0.62 ]
                 т:    [ 1 ]     [ 0.62 ]
                 у:    [ 1 ]     [ 0.62 ]
             смысл:    [ 1 ]     [ 0.62 ]
           системы:    [ 1 ]     [ 0.62 ]
             range:    [ 1 ]     [ 0.62 ]
                 я:    [ 1 ]     [ 0.62 ]
               out:    [ 1 ]     [ 0.62 ]
               был:    [ 1 ]     [ 0.62 ]
               уже:    [ 1 ]     [ 0.62 ]
         параметра:    [ 1 ]     [ 0.62 ]
            раньше:    [ 1 ]     [ 0.62 ]
           apangin:    [ 1 ]     [ 0.62 ]
               это:    [ 1 ]     [ 0.62 ]
           которых:    [ 1 ]     [ 0.62 ]
            теперь:    [ 1 ]     [ 0.62 ]
                ли:    [ 1 ]     [ 0.62 ]
                32:    [ 1 ]     [ 0.62 ]
       милисекунду:    [ 1 ]     [ 0.62 ]
            просто:    [ 1 ]     [ 0.62 ]
      программисты:    [ 1 ]     [ 0.62 ]
           getname:    [ 1 ]     [ 0.62 ]
              свой:    [ 1 ]     [ 0.62 ]
            только:    [ 1 ]     [ 0.62 ]
            нельзя:    [ 1 ]     [ 0.62 ]
              знаю:    [ 1 ]     [ 0.62 ]
            return:    [ 1 ]     [ 0.62 ]
interruptedexception:    [ 1 ]     [ 0.62 ]
               или:    [ 1 ]     [ 0.62 ]
         добавляет:    [ 1 ]     [ 0.62 ]
           integer:    [ 1 ]     [ 0.62 ]
                на:    [ 1 ]     [ 0.62 ]
         интересно:    [ 1 ]     [ 0.62 ]
              void:    [ 1 ]     [ 0.62 ]
     преобразуется:    [ 1 ]     [ 0.62 ]
            объект:    [ 1 ]     [ 0.62 ]
             могли:    [ 1 ]     [ 0.62 ]
            throws:    [ 1 ]     [ 0.62 ]
   многопоточность:    [ 1 ]     [ 0.62 ]
               для:    [ 1 ]     [ 0.62 ]
             final:    [ 1 ]     [ 0.62 ]
         относится:    [ 1 ]     [ 0.62 ]
              даже:    [ 1 ]     [ 0.62 ]
            string:    [ 1 ]     [ 0.62 ]
           случаях:    [ 1 ]     [ 0.62 ]
            прошли:    [ 1 ]     [ 0.62 ]
          negative:    [ 1 ]     [ 0.62 ]
        реализация:    [ 1 ]     [ 0.62 ]
                of:    [ 1 ]     [ 0.62 ]
                по:    [ 1 ]     [ 0.62 ]
             нынче:    [ 1 ]     [ 0.62 ]
            999999:    [ 1 ]     [ 0.62 ]
          getclass:    [ 1 ]     [ 0.62 ]
 шестнадцатеричную:    [ 1 ]     [ 0.62 ]
              иным:    [ 1 ]     [ 0.62 ]
              если:    [ 1 ]     [ 0.62 ]
            другая:    [ 1 ]     [ 0.62 ]
     бесполезность:    [ 1 ]     [ 0.62 ]
            многих:    [ 1 ]     [ 0.62 ]
              есть:    [ 2 ]     [ 1.25 ]
                 и:    [ 2 ]     [ 1.25 ]
                бы:    [ 2 ]     [ 1.25 ]
                 к:    [ 2 ]     [ 1.25 ]
illegalargumentexception:    [ 2 ]     [ 1.25 ]
              long:    [ 2 ]     [ 1.25 ]
              того:    [ 2 ]     [ 1.25 ]
             throw:    [ 2 ]     [ 1.25 ]
               new:    [ 2 ]     [ 1.25 ]
             кроме:    [ 2 ]     [ 1.25 ]
                он:    [ 2 ]     [ 1.25 ]
               как:    [ 2 ]     [ 1.25 ]
            public:    [ 2 ]     [ 1.25 ]
             value:    [ 2 ]     [ 1.25 ]
               int:    [ 2 ]     [ 1.25 ]
                if:    [ 3 ]     [ 1.87 ]
              wait:    [ 3 ]     [ 1.87 ]
          tostring:    [ 3 ]     [ 1.87 ]
                 0:    [ 4 ]     [ 2.5 ]
                 в:    [ 4 ]     [ 2.5 ]
                не:    [ 4 ]     [ 2.5 ]
               что:    [ 4 ]     [ 2.5 ]
          hashcode:    [ 5 ]     [ 3.12 ]
           timeout:    [ 6 ]     [ 3.75 ]
             nanos:    [ 7 ]     [ 4.37 ]
